WKT_,WKT,latitude,longitude
"POINT (-6.8610665 34.0039735)",POINT (-6.8610665 34.0039735),34.0039735,-6.8610665
"POINT (-6.8635387 34.0100987)",POINT (-6.8635387 34.0100987),34.0100987,-6.8635387
"POINT (-6.8540741 34.0108836)",POINT (-6.8540741 34.0108836),34.0108836,-6.8540741
"POINT (-6.8530464 34.0037447)",POINT (-6.8530464 34.0037447),34.0037447,-6.8530464
"POINT (-6.8592264 34.0058842)",POINT (-6.8592264 34.0058842),34.0058842,-6.8592264
"POINT (-6.8559586 34.0098771)",POINT (-6.8559586 34.0098771),34.0098771,-6.8559586
"POINT (-6.8628756 34.0103224)",POINT (-6.8628756 34.0103224),34.0103224,-6.8628756
"POINT (-6.8566974 34.0145071)",POINT (-6.8566974 34.0145071),34.0145071,-6.8566974
"POINT (-6.8549413 34.0068484)",POINT (-6.8549413 34.0068484),34.0068484,-6.8549413
"POINT (-6.8570756 34.0082868)",POINT (-6.8570756 34.0082868),34.0082868,-6.8570756
"POINT (-6.8580033 34.0026927)",POINT (-6.8580033 34.0026927),34.0026927,-6.8580033
"POINT (-6.8637678 34.0047274)",POINT (-6.8637678 34.0047274),34.0047274,-6.8637678
"POINT (-6.8606433 34.0115596)",POINT (-6.8606433 34.0115596),34.0115596,-6.8606433
"POINT (-6.8589926 34.005691)",POINT (-6.8589926 34.005691),34.005691,-6.8589926
"POINT (-6.8654645 34.0035203)",POINT (-6.8654645 34.0035203),34.0035203,-6.8654645
"POINT (-6.853323 34.0059911)",POINT (-6.853323 34.0059911),34.0059911,-6.853323
"POINT (-6.8553771 34.0147564)",POINT (-6.8553771 34.0147564),34.0147564,-6.8553771
"POINT (-6.8598087 34.0148821)",POINT (-6.8598087 34.0148821),34.0148821,-6.8598087
"POINT (-6.8634578 34.002248)",POINT (-6.8634578 34.002248),34.002248,-6.8634578
"POINT (-6.8521878 34.0045768)",POINT (-6.8521878 34.0045768),34.0045768,-6.8521878
"POINT (-6.8576763 34.0036141)",POINT (-6.8576763 34.0036141),34.0036141,-6.8576763
"POINT (-6.8945289 33.9715613)",POINT (-6.8945289 33.9715613),33.9715613,-6.8945289
"POINT (-6.8905177 33.9747577)",POINT (-6.8905177 33.9747577),33.9747577,-6.8905177
"POINT (-6.8799722 33.9859366)",POINT (-6.8799722 33.9859366),33.9859366,-6.8799722
"POINT (-6.8891455 33.9797082)",POINT (-6.8891455 33.9797082),33.9797082,-6.8891455
"POINT (-6.8324232 34.0246164)",POINT (-6.8324232 34.0246164),34.0246164,-6.8324232
"POINT (-6.8674436 33.9954668)",POINT (-6.8674436 33.9954668),33.9954668,-6.8674436
"POINT (-6.8898969 33.9718238)",POINT (-6.8898969 33.9718238),33.9718238,-6.8898969
"POINT (-6.8550689 33.970118)",POINT (-6.8778515 33.9909042),33.970118,-6.8550689
"POINT (-6.8715533 34.0003993)",POINT (-6.8715533 34.0003993),34.0003993,-6.8715533
"POINT (-6.8996936 33.97102)",POINT (-6.8996936 33.97102),33.97102,-6.8996936
"POINT (-6.8962288 33.9743352)",POINT (-6.8962288 33.9743352),33.9743352,-6.8962288
"POINT (-6.8936308 33.9690846)",POINT (-6.8936308 33.9690846),33.9690846,-6.8936308
"POINT (-6.8812447 33.9933434)",POINT (-6.8812447 33.9933434),33.9933434,-6.8812447
"POINT (-6.8885841 33.9750292)",POINT (-6.8885841 33.9750292),33.9750292,-6.8885841
"POINT (-6.891107 33.9826482)",POINT (-6.891107 33.9826482),33.9826482,-6.891107
"POINT (-6.8849481 33.9794611)",POINT (-6.8849481 33.9794611),33.9794611,-6.8849481
"POINT (-6.8804805 33.9801601)",POINT (-6.8804805 33.9801601),33.9801601,-6.8804805
"POINT (-6.8742454 33.9980994)",POINT (-6.8742454 33.9980994),33.9980994,-6.8742454
"POINT (-6.8754574 33.9936582)",POINT (-6.8754574 33.9936582),33.9936582,-6.8754574
"POINT (-6.8778566 33.9939132)",POINT (-6.8778566 33.9939132),33.9939132,-6.8778566
"POINT (-6.8825669 33.9904787)",POINT (-6.8825669 33.9904787),33.9904787,-6.8825669
"POINT (-6.8942087 33.9775083)",POINT (-6.8942087 33.9775083),33.9775083,-6.8942087
"POINT (-6.8700847 33.9985618)",POINT (-6.8700847 33.9985618),33.9985618,-6.8700847
"POINT (-6.8340857 34.0001797)",POINT (-6.8340857 34.0001797),34.0001797,-6.8340857
"POINT (-6.8789187 33.9888328)",POINT (-6.8789187 33.9888328),33.9888328,-6.8789187
"POINT (-6.8831116 33.9848282)",POINT (-6.8711567 33.9914735),33.9848282,-6.8831116
"POINT (-6.8408509 34.027427)",POINT (-6.8408509 34.027427),34.027427,-6.8408509
"POINT (-6.8860627 33.9875192)",POINT (-6.8860627 33.9875192),33.9875192,-6.8860627
"POINT (-6.8868892 33.9737531)",POINT (-6.8868892 33.9737531),33.9737531,-6.8868892
"POINT (-6.874541 33.9856982)",POINT (-6.874541 33.9856982),33.9856982,-6.874541
"POINT (-6.8725863 33.9959014)",POINT (-6.8725863 33.9959014),33.9959014,-6.8725863
"POINT (-6.8828265 33.9806395)",POINT (-6.8828265 33.9806395),33.9806395,-6.8828265
"POINT (-6.8749677 33.9955885)",POINT (-6.8749677 33.9955885),33.9955885,-6.8749677
"POINT (-6.8924596 33.9790084)",POINT (-6.8924596 33.9790084),33.9790084,-6.8924596
"POINT (-6.8853278 33.9836335)",POINT (-6.8823147 33.9863496),33.9836335,-6.8853278
"POINT (-6.86703 34.0005956)",POINT (-6.86703 34.0005956),34.0005956,-6.86703
"POINT (-6.8522252 33.970785)",POINT (-6.8859196 33.9832181),33.970785,-6.8522252
"POINT (-6.8754134 33.991093)",POINT (-6.8754134 33.991093),33.991093,-6.8754134
"POINT (-6.8859633 33.9780477)",POINT (-6.8859633 33.9780477),33.9780477,-6.8859633
"POINT (-6.8727961 33.9988829)",POINT (-6.8727961 33.9988829),33.9988829,-6.8727961
"POINT (-6.8387709 34.0231351)",POINT (-6.8387709 34.0231351),34.0231351,-6.8387709
"POINT (-6.8809204 33.9938544)",POINT (-6.8809204 33.9938544),33.9938544,-6.8809204
"POINT (-6.8775484 33.9817896)",POINT (-6.8775484 33.9817896),33.9817896,-6.8775484
"POINT (-6.8541229 34.0144912)",POINT (-6.8541229 34.0144912),34.0144912,-6.8541229
"POINT (-6.8485305 34.0220456)",POINT (-6.8485305 34.0220456),34.0220456,-6.8485305
"POINT (-6.8465309 34.0160461)",POINT (-6.8465309 34.0160461),34.0160461,-6.8465309
"POINT (-6.83939 34.028692)",POINT (-6.83939 34.028692),34.028692,-6.83939
"POINT (-6.8528969 34.0187071)",POINT (-6.8528969 34.0187071),34.0187071,-6.8528969
"POINT (-6.849839 34.017882)",POINT (-6.849839 34.017882),34.017882,-6.849839
"POINT (-6.8541782 34.0138912)",POINT (-6.8541782 34.0138912),34.0138912,-6.8541782
"POINT (-6.8495758 34.0229044)",POINT (-6.8495758 34.0229044),34.0229044,-6.8495758
"POINT (-6.8381805 34.0045908)",POINT (-6.8381805 34.0045908),34.0045908,-6.8381805
"POINT (-6.8539143 34.0177492)",POINT (-6.8539143 34.0177492),34.0177492,-6.8539143
"POINT (-6.8576948 34.0163678)",POINT (-6.8576948 34.0163678),34.0163678,-6.8576948
"POINT (-6.8466418 34.0187709)",POINT (-6.8466418 34.0187709),34.0187709,-6.8466418
"POINT (-6.8476762 34.0207694)",POINT (-6.8476762 34.0207694),34.0207694,-6.8476762
"POINT (-6.8560696 34.0169781)",POINT (-6.8560696 34.0169781),34.0169781,-6.8560696
"POINT (-6.8444452 34.0148378)",POINT (-6.8444452 34.0148378),34.0148378,-6.8444452
"POINT (-6.8435217 34.020356)",POINT (-6.8435217 34.020356),34.020356,-6.8435217
"POINT (-6.8496216 34.0208982)",POINT (-6.8496216 34.0208982),34.0208982,-6.8496216
"POINT (-6.8423963 34.0170359)",POINT (-6.8423963 34.0170359),34.0170359,-6.8423963
"POINT (-6.8451084 34.0157044)",POINT (-6.8451084 34.0157044),34.0157044,-6.8451084
"POINT (-6.8467008 34.0143287)",POINT (-6.8467008 34.0143287),34.0143287,-6.8467008
